Time,IMF B_x,IMF B_y,IMF B_z,IMF B_tot,n,T,V_x,V_y,V_z,V_tot,P_dyn
2008-05-28T01:06:31.708Z,4.1318649999999995,1.1711,-2.263015,4.854381575283302,11.6372,19065.806720229473,-334.075,-31.2383,-16.1773,335.9220773441067,4.38603466431302
2008-05-28T01:08:15.654Z,4.2043800000000005,1.07098,-2.69543,5.107754127764962,11.4281,16742.558958084548,-333.483,-30.0542,-19.877,335.42400235469137,4.294462079592622
2008-05-28T01:09:50.428Z,4.20607,1.069747,-2.44497,4.981291176975002,11.6695,16315.188654222227,-332.81,-28.693,-21.5276,334.7375418305512,4.367245039592631
2008-05-28T01:11:28.259Z,4.12742,1.1338499999999998,-2.22092,4.822208760028956,13.8687,23787.53415156522,-332.405,-27.213,-26.0014,334.5290782517418,5.1838206627055845
2008-05-28T01:13:06.090Z,3.980615,1.270935,-1.70926,4.514658492073348,10.4728,15920.89937309904,-329.577,-31.5292,-17.2555,331.5310568587655,3.844657995243183
2008-05-28T01:14:43.922Z,4.028695,2.2273449999999997,-2.676515,5.324958375168298,10.8113,17148.163912338172,-330.544,-30.8485,-16.6018,332.39522507324017,3.9896421023362056
2008-05-28T01:16:21.753Z,4.144415,2.5241749999999996,-2.90093,5.653585586842213,10.266,16099.304117736718,-333.114,-31.6909,-19.3308,335.17596866041873,3.8520638136131113
2008-05-28T01:18:09.603Z,6.880895000000001,3.0206350000000004,-5.13112,9.099414500870372,23.7604,31249.00325193237,-372.247,-34.9175,-44.176,376.48184523460094,11.248336273248539
2008-05-28T01:19:38.263Z,8.037815,3.488895,-4.810575,9.99602371575193,24.1998,34352.24825107006,-369.314,-24.1767,-43.8681,372.69525569357603,11.227058154943046
2008-05-28T01:21:15.247Z,7.834115000000001,2.8169750000000002,-5.84853,10.174183463293259,24.2076,33247.91093626087,-370.071,-30.9158,-38.831,373.38475905108936,11.272269799226438
2008-05-28T01:23:00.863Z,8.169084999999999,3.0600300000000002,-6.1986349999999995,10.701439585464659,25.0026,35314.03556714977,-368.552,-34.3538,-35.9355,371.8899305422103,11.549428072244506
2008-05-28T01:24:43.139Z,7.3141,3.731995,-6.04094,10.193959072589266,25.1367,30858.398047282615,-375.43,-27.4751,-40.1524,378.56938762368253,12.032218610213427
2008-05-28T01:26:08.742Z,7.66048,3.867355,-6.292415,10.641140684092566,25.123,44597.70296902176,-366.907,-29.479,-37.6596,370.01081546646714,11.488062843463766
2008-05-28T01:27:49.630Z,7.306285,2.5452950000000003,-6.68643,10.225882518548215,23.9072,41746.584729388895,-365.628,-34.2926,-37.3706,369.1292165937559,10.8800783669743
2008-05-28T01:29:26.073Z,7.2296,2.41639,-6.657335,10.120581312075162,24.104,33374.726075185994,-364.825,-38.2198,-30.783,368.11088930652403,10.909200280909658
2008-05-28T01:31:06.822Z,7.2245349999999995,2.326495,-6.74852,10.15622996695378,25.548,41778.513828483105,-368.576,-37.6918,-31.5755,371.84129916335274,11.798277909083165
2008-05-28T01:32:46.182Z,7.090235,2.723065,-6.5022850000000005,9.998311135920657,26.1955,37489.398562760885,-368.525,-39.3889,-27.7998,371.6651583727616,12.085840531492535
2008-05-28T01:34:22.483Z,7.215655,2.715265,-6.59377,10.144759430964838,26.1339,37417.124883630444,-366.574,-41.4625,-32.0458,370.30064769034635,11.969048729349307
2008-05-28T01:35:58.787Z,7.00448,1.1616024999999999,-6.34604,9.52282962779479,27.1591,39336.53726991064,-366.516,-29.7382,-31.2816,369.04861101730216,12.354608597767546
2008-05-28T01:37:36.618Z,7.180305,1.203125,-6.74714,9.926136601833061,26.5102,39580.028850695664,-366.962,-45.0725,-28.2421,370.79678519730993,12.173946568867972
